team_id,team_name,league,year,season,matches,wins,draws,losses,scored,conceded,xG,xGA,npxG,npxGA,deep,deep_allowed,pts,xpts,ppda_coef,oppda_coef,npxGD,xG_diff,xGA_diff,xpts_diff,position,scrape_timestamp
117,Bayern Munich,Bundesliga,2025,2025/26,11,10,1,0,41,8,31.20834,7.578785,28.177229999999998,6.821008,142,46,31,28.6239,9.461224489795919,18.58653846153846,21.356222,-9.79166,-0.4212150000000001,-2.376100000000001,1,2025-11-26T17:00:40.108360
136,RasenBallsport Leipzig,Bundesliga,2025,2025/26,11,8,1,2,22,13,22.443489999999997,15.398095,21.685709999999997,15.398095,101,92,25,20.0978,15.542713567839195,11.839080459770114,6.287614999999997,0.44348999999999705,2.3980949999999996,-4.902200000000001,2,2025-11-26T17:00:40.108360
119,Bayer Leverkusen,Bundesliga,2025,2025/26,11,7,2,2,27,15,24.769584000000005,13.531534999999998,22.496254000000004,12.015988,79,66,23,21.5357,13.321052631578947,15.896153846153846,10.480266000000004,-2.2304159999999946,-1.468465000000002,-1.4643000000000015,3,2025-11-26T17:00:40.108360
129,Borussia Dortmund,Bundesliga,2025,2025/26,11,6,4,1,19,10,19.116829000000003,12.103657999999998,17.601279,11.345876999999998,121,44,22,19.8866,11.133891213389122,14.317972350230415,6.255402000000004,0.11682900000000274,2.1036579999999976,-2.1133999999999986,4,2025-11-26T17:00:40.108360
133,VfB Stuttgart,Bundesliga,2025,2025/26,11,7,1,3,20,15,18.768439,14.838868,16.495099,12.565534,87,60,22,17.8505,10.09049773755656,16.033653846153847,3.929565,-1.2315609999999992,-0.16113200000000028,-4.1495,5,2025-11-26T17:00:40.108360
120,Hoffenheim,Bundesliga,2025,2025/26,11,6,2,3,22,17,19.260192999999997,18.860873,17.744643,17.345323000000004,76,49,20,15.5949,8.753571428571428,14.42051282051282,0.3993199999999959,-2.7398070000000025,1.8608730000000016,-4.405099999999999,6,2025-11-26T17:00:40.108360
132,Eintracht Frankfurt,Bundesliga,2025,2025/26,11,6,2,3,27,22,20.470939,14.769405999999998,19.713163,14.011626,80,56,20,18.9429,11.594594594594595,15.339366515837105,5.701537000000002,-6.529060999999999,-7.230594000000002,-1.0570999999999984,7,2025-11-26T17:00:40.108360
123,Werder Bremen,Bundesliga,2025,2025/26,11,4,3,4,15,20,14.862767,22.897894,12.589438,20.624554,75,101,15,11.8491,15.702127659574469,11.615384615384615,-8.035116,-0.13723300000000016,2.897894000000001,-3.1509,8,2025-11-26T17:00:40.108360
240,Union Berlin,Bundesliga,2025,2025/26,11,4,3,4,14,17,14.348321999999998,18.043274999999998,13.590545999999998,15.769948999999997,43,96,15,12.571,17.862222222222222,8.570680628272251,-2.179402999999999,0.3483219999999978,1.0432749999999977,-2.4290000000000003,9,2025-11-26T17:00:40.108360
134,FC Cologne,Bundesliga,2025,2025/26,11,4,2,5,20,19,17.645494000000003,20.787481999999997,16.887714,17.756366,68,89,14,12.772400000000001,16.15846994535519,13.43979057591623,-0.8686520000000009,-2.354505999999997,1.7874819999999971,-1.227599999999999,10,2025-11-26T17:00:40.108360
135,Freiburg,Bundesliga,2025,2025/26,11,3,4,4,15,20,14.219258000000002,16.045644,11.946003,15.287865,52,62,13,14.8971,14.842931937172775,10.896414342629482,-3.3418620000000008,-0.7807419999999983,-3.9543560000000006,1.8971,11,2025-11-26T17:00:40.108360
130,Borussia M.Gladbach,Bundesliga,2025,2025/26,11,3,3,5,16,19,18.384498999999998,17.387732,15.353396999999998,15.872171999999999,94,89,12,15.501700000000001,14.75925925925926,13.61860465116279,-0.5187750000000015,2.384498999999998,-1.6122680000000003,3.5017000000000014,12,2025-11-26T17:00:40.108360
121,Augsburg,Bundesliga,2025,2025/26,11,3,1,7,15,24,12.235978,20.996660000000002,11.478197000000002,18.56749,45,94,10,10.3181,10.578181818181818,10.43859649122807,-7.089292999999998,-2.7640220000000006,-3.003339999999998,0.3180999999999994,13,2025-11-26T17:00:40.108360
118,Hamburger SV,Bundesliga,2025,2025/26,11,2,3,6,9,17,14.545874999999999,19.448549000000003,13.715724999999999,17.932993,56,94,9,12.344499999999998,15.311475409836065,12.069958847736626,-4.217268000000001,5.545874999999999,2.4485490000000034,3.3444999999999983,14,2025-11-26T17:00:40.108360
131,Wolfsburg,Bundesliga,2025,2025/26,11,2,2,7,13,21,15.035727000000001,19.760205999999997,14.277947000000001,17.414496,52,88,8,11.873600000000001,13.976190476190476,11.325991189427313,-3.1365489999999987,2.0357270000000014,-1.2397940000000034,3.8736000000000015,15,2025-11-26T17:00:40.108360
288,St. Pauli,Bundesliga,2025,2025/26,11,2,1,8,9,21,11.464870000000001,19.542763999999995,9.793398999999999,18.027213999999997,70,64,7,10.2415,13.859922178988327,15.355670103092784,-8.233814999999998,2.4648700000000012,-1.4572360000000053,3.2415000000000003,16,2025-11-26T17:00:40.108360
125,Mainz 05,Bundesliga,2025,2025/26,11,1,3,7,11,19,15.537965,18.354546999999997,13.264629,17.596776999999996,91,83,6,13.6509,8.774193548387096,10.228855721393035,-4.332147999999997,4.537965,-0.6454530000000034,7.6509,17,2025-11-26T17:00:40.108360
280,FC Heidenheim,Bundesliga,2025,2025/26,11,1,2,8,8,26,12.007276999999998,25.979873,12.007276999999998,24.464322999999997,52,111,5,8.081,17.796791443850267,10.292237442922374,-12.457045999999998,4.007276999999998,-0.020126999999998674,3.0809999999999995,18,2025-11-26T17:00:40.108360
